full_text,translated,klasifikasi,prediksi,sentiment
dukung bersama ruu tni memperkuat rasa cinta tanah air kebanggaan nasional,Support with the TNI Bill to strengthen the love of the national pride of the motherland,Netral,Positif,TextBlob analysis used
excited gw ilang pengesahan ruu tni,Excited I lost the ratification of the TNI Bill,Netral,Positif,TextBlob analysis used
ruu tni cara menjaga indonesia tetap aman terlindungi segala ancaman sistem pertahanan kuat,TNI Bill How to keep Indonesia safe protected by all the threats of a strong defense system,Negatif,Positif,TextBlob analysis used
susunan dprri sekarang fraksi partai politik ada unsur tnipolri semua kebijakan pembuatan uuruu sulit pengaruhi tnipolri luar mekanisme sogokmenyogoksuap di dprri kalo pr nya dprri bukan urusan gwlu,The composition of the DPRRI now there is an element of tnipolri all policies for making uuruu are difficult to influence the tnipolri outside the mechanism of bribesoksokuap in the DPRRI if the DPRRI's homework is not the affair of Gwlu,Netral,Negatif,TextBlob analysis used
padahal gw gapeduli salah nyerempet,Even though I care about being wrong,Positif,Negatif,TextBlob analysis used
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis oke,Sorry yeeee forgive yourself if the Setransparent Making TNI Bill has many wrong establishments and between often say rude to say your ndas with the warmth of the warmth of being able to fulfill the free nutritional meal okay okay,Netral,Positif,TextBlob analysis used
muales pengalihan isu model begini penting blas mau gay biseks sy peduli sy lebih peduli dg ruu tni korupsi bumn program buangbuang duit macam mbg,"Muias of transferring the issue of this model is important, BLAS want to be gay, I care about me, I care more about the TNI BUMN BUMN BUMN BUMN DEVELOPMENT DEVELOPMENT",Netral,Positif,TextBlob analysis used
anjg jangan dong pls aku takut,Anjg don't pls I'm afraid,Netral,Negatif,TextBlob analysis used
ruu tni sesemakin yakin tni terus menjaga kedaulatan negara penuh dedikasi,The TNI Bill is sure that the TNI continues to maintain the sovereignty of the state full of dedication,Negatif,Positif,TextBlob analysis used
melalui ruu tni indonesia sesemakin yakin tni terus menjaga kedaulatan bangsa wilayah indonesia,"Through the Indonesian TNI Bill, it is sure that the TNI continues to maintain the sovereignty of the Indonesian nation",Positif,Positif,TextBlob analysis used
sama siapa sih sebenernya kocak ruu tni doesnt make him stay,who is actually the hilarious hilarious TNI Bill Doesnt Make Him Stay,Positif,Positif,TextBlob analysis used
ruu tni indonesia memastikan tni terus memiliki dukungan penuh menjaga stabilitas kedamaian negara,The Indonesian TNI Bill ensures that the TNI continues to have full support to maintain the stability of state peace,Negatif,Positif,TextBlob analysis used
kecewa sama pemerintah dpr semua pejabat tidak mementingkan kepentingan rakyat tweet dibawah dilihat orang tweet mengungkap kebohongan kebohongan dpr selama proses pengesahan ruu tni bapak ibu dpr apa maksudnya,Disappointed with the DPR Government All officials are not concerned with the interests of the people tweets below seen tweets reveal the lies of the DPR's lies during the process of ratification of the TNI Bill ladies and gentlemen what they mean,Positif,Negatif,TextBlob analysis used
ruu tni cara memperkuat pertahanan nasional tni menjalankan tugas dengan lebih maksimal menjaga kedamaian,TNI Bill How to Strengthen the National Defense of the TNI Carry out its duties more optimally to maintain peace,Netral,Positif,TextBlob analysis used
anehhhhhh bin dongo lu kaga liat noh darii kemrn mahasiswa demo garaa revisi ruu tni jangn memberi ruang tni polri jelas melanggar hukum kepentingan sendiri mbulll batalinn tidakk lu ngebahas dihotel diem next ketok palu nama rakyt aneh,strangehhhhhh bin dongo you can see no from the Ministry of Student Demo student because the revision of the TNI Bill Jangn gave the TNI Police Room clearly violated the laws of their own interests Mbulll BATALINN did not discuss in the hotel.,Positif,Positif,TextBlob analysis used
